qid,P236,P7363,Lpt,P17,P8608
,2317-9635,2317-9635,Anais Eletrônicos do Simpósio Anônimos na Históri,Q155,container_5wm3d4lxibabjo3vzoiyuox4ca
,1677-3047,1518-6393,Teoria e Prática na Engenharia Civil(Online,Q155,container_5hs3bnpmorbqdapt74cx5b3dy4
,2317-9678,2317-9678,Focus Insigh,Q155,container_5hhw5mcadreujnimt6ffsjb4oe
,2318-0552,2318-0552,Matemática e Estatística em Foco,Q155,container_5fxxynp4gzhtppzz75w5y2uysu
,2238-9709,2238-9709,Diaphor,Q155,container_5fqg46tlfvc5xndsbb3765cvgm
,1981-7509,1981-7509,Revista conatus,Q155,container_57sb7mxusveu7p5r3dig6nhexq
,2357-7797,2357-7797,Inova,Q155,container_4bz6p4mftbbcnhbm2uwyshm2o4
,2178-1737,2178-1737,Philia&Filia,Q155,container_3pbodpn2tfbore45uiwqhoueti
,1984-5634,1984-5634,Aedos(Porto Alegre. Online,Q155,container_2w5a4prtljf2tafzdmozbawqia
,2238-8079,2238-8079,#Tear: Revista de Educação, Ciência e Tecnologia,Q155,container_2lpkilo22fc2dnqylzfblgajaq
,1983-6007,1983-6007,CliniCAPS,Q155,container_2jrlm7omkzhanlgkav7yyasweq
,2318-0692,2318-0692,Revista de Engenharia da Universidade Católica de Petrópolis,Q155,container_2hkkbsbttffchcrochmjp5v3jm
,2318-3179,2318-3179,Alabrast,Q155,container_257373pmofclfob2qdm6kprsca
